地名,センター（center.csvを使わない場合は空白化）,可燃ごみ,不燃ごみ,資源ごみ,処理困難ごみ 電池・体温計,処理困難ごみ 蛍光管
大井町　学頭一～七、学頭ハイツ、鏡山住宅、恵那東、元起、原、原教員住宅、事業団宿舎、舟山、舟山荘、新舟山１・２・３、新舟山一～三、新舟荘、雀子ヶ根、正家区後田、石丸共同住宅、Ｙ’ｓリアンピアリブ、アドバンス学頭、アネックス１９、ヴィラ後田、エスティアム学頭、グリーンハイツ大井、グレイスリーマンション、コーポコスモス、コーポ西尾、サンハイツ鏡山、トラッド学頭アパート、ナツキハイツ、ネオライフ、ブランシェ２１、メゾンミズサワ、ロイヤルオーク（新舟山）、各務ハイツ,,月 木,20181001 20181101 20181203 20190107 20190201 20190301,20181001 20181101 20181203 20190107 20190201 20190301,20181203 20190301,20181001 20190107
大井町　横町、岡瀬沢、下本町、鴨田、観音寺、関戸、鏡山、鏡山ハイツ、金沢町、上町、上本町、新岡瀬沢、惣の神、渡村アパート、東学頭、東荘、南関戸、日光坊、日光防、日置ビル、ENAグリーンヒルズ団地、ＥＮＡグリーンヒルズ団地、アネシス、イトウビレッジ、ヴィルネーブ、ヴィレッタ・ウーノ、カーサグロリア、グランシャリオ（岡瀬沢）、グリーンハイツ鴨田、クリーンハウス、コアリーいとう、コーポＦ＆Ｔ、コーポミツワ、コーポ岩井、サープラス暖、サープラス中山道、サテライト（岡瀬沢）、サニーアーバンハイツ、サンハピネ、サンライズ（岡瀬沢）、シンフォニーカノン、セルバ恵那、つつじヶ丘、ドミール毘沙門、フレグランスあおき、プロシードＳ、メゾンヒルサイド、リジェールＭ＆Ｙ、伊佐地荘、井の平荘,,月 木,20181002 20181102 20181204 20190108 20190204 20190304,20181002 20181102 20181204 20190108 20190204 20190304,20181204 20190304,20181002 20190108
大井町　奥戸、横平、横平警察職員アパート、横平県職アパート、花の木、恵那峡、恵那峡藤ハイツ、山菜園北住宅、新関戸、青木、大林、土々ヶ根、北関戸、本多金属、エレガンシア（土々ヶ根）、グリーンパレス恵那、グリーンヒルズ、グリーンヒル横平、グリーンヒル金龍、グレイスメゾン、サンフォレスト、シャトー金龍、つつじヶ丘、ノーブルコート、ハイツ市川、はなの木東、ピープル、ひまわり坂、フォレスタ恵那、フォレストリバー、フラットサンパール、マイホーム栄和、マンション横平、ラフォーレ１・２、,,月 木,20181003 20181105 20181205 20190109 20190205 20190305,20181003 20181105 20181205 20190109 20190205 20190305,20181205 20190305,20181003 20190109
大井町　旭ヶ丘、丸池、丸池住宅、丸池新住宅、丸池中組、丸池二、恵那病院住宅、市場田、乗越、杉ヶ丘、大井製紙社宅、長丘、長島、的が屋敷アパート、野越、野尻、緑ヶ丘、老松苑、アルカンシェル、ヴィラフォーレス、ヴィレッタ・ドゥーエ、ウェストテール、ヴューテラス（丸池）、クリーンハイツ野畑、グリーンヒル、グリーンヒルズ野尻、コーポなかや、サークルレイク、サニーハイツ、サンリバー、トラッドシマダ、トラッドミホ、トラッドミホ（中尾ハイツ）、ひばりが丘住宅、ひばりヶ丘住宅、ビラフォーレスＡＢＣ、フォーレスＡＢＣ、メゾン満天星Ⅰ・Ⅱ、リュープレックス、レジテンスコンフォート、レジデンスコンフォート、レジテンスプレザント、レジデンスプレザント,,月 木,20181010 20181109 20181211 20190115 20190212 20190311,20181010 20181109 20181211 20190115 20190212 20190311,20181211 20190311,20181010 20190115
大井町　上茶屋町、城畑、新学頭、神徳、清友荘、西茶屋町、扇荘、足立荘、竪町、中央マンション、田中アパート、島田、南竪町、ＮＴＴ大井住宅、クレール恵那、コーポみしま、パトリアＫ２、フォーブル恵、プラザハイツ、メゾンジョウリョウ、メゾン島田、ルシェルブルー（御所の前）、ロイヤルハイツ足立、ロイヤルメゾン、榎町、下屋敷、各務団地、関電興業恵那寮、橋場、近鉄舟山住宅、御所の前、御所の前　１・２・３、光陽マンション、市川会計ビル、酒井（長谷川）アパート、消防署,,月 木,20181004 20181106 20181206 20190110 20190206 20190306,20181004 20181106 20181206 20190110 20190206 20190306,20181206 20190306,20181004 20190110
大井町　東銀座、東新町、東末広町、南栄町、二葉町、末広通り、コーポみなもとや、コーポラス鷹見、さくらビル、サンシャインビル神沢、サンライズミツオカ、のじり荘、ベルガーデン、マルコーハイツ、リバーサイドビル、旭町、栄町、銀座、市川ビル、舟橋町、新栄町、西舟橋町、中央通り１、中央通り３、中央通り一、中央通り三、中部ハイツ,,月 木,20181005 20181107 20181207 20190111 20190207 20190307,20181005 20181107 20181207 20190111 20190207 20190307,20181207 20190307,20181005 20190111
長島町　大崎、寿町、住吉、神田、川原、本通り、末広町、明神町,,月 木,20181011 20181112 20181212 20190116 20190213 20190312,20181011 20181112 20181212 20190116 20190213 20190312,20181212 20190312,20181011 20190116
長島町　みどり町、愛宕町、下久屋、花岸町、高野町、坂の上、松ヶ丘、上久屋、乗越、新田、中西町、中町、天王山、槙ヶ根、夕陽ヶ丘,,月 木,20181012 20181113 20181213 20190117 20190214 20190313,20181012 20181113 20181213 20190117 20190214 20190313,20181213 20190313,20181012 20190117
長島町　永平団地、宮の前、正家、清水、築出、南ヶ丘,,月 木,20181015 20181114 20181214 20190118 20190215 20190314,20181015 20181114 20181214 20190118 20190215 20190314,20181214 20190314,20181015 20190118
長島町　後田,,月 木,20181001 20181101 20181203 20190107 20190201 20190301,20181001 20181101 20181203 20190107 20190201 20190301,20181203 20190301,20181001 20190107
